,Comment,Description,ID,Link1,Link2,String,Type,user-agent
0,,Sync2It bookmark management & clustering engine,id_a_f_3,http://www.sync2it.com,,!Susie (http://www.sync2it.com/susie),C R,"
"
1,Site is dead,UnCHAOS search robot,id_a_f_6,http://www.unchaos.com/,,<a href='http://www.unchaos.com/'> UnChaos </a> From Chaos To Order Hybrid Web Search Engine.(vadim_gonchar@unchaos.com),R,"
"
2,Site is dead,UnCHAOS search robot,id_a_f_7,http://www.unchaos.com/,,<a href='http://www.unchaos.com/'> UnChaos Bot Hybrid Web Search Engine. </a> (vadim_gonchar@unchaos.com),R,"
"
3,Site is dead,UnCHAOS search robot,id_a_f_8,http://www.unchaos.com/,,<b> UnChaosBot From Chaos To Order UnChaos Hybrid Web Search Engine at www.unchaos.com </b> (info@unchaos.com),R,"
"
4,s.also SygolBot,Sygol Search (Italy) robot,id_a_f_9,http://www.sygol.com/,,<http://www.sygol.com/> http://www.sygol.com,R,"
"
5,Services is no more available,SearchEngineWorld's robots.txt validator,id_a_f_4,http://www.searchengineworld.com/cgi-bin/robotcheck.cgi,,( Robots.txt Validator http://www.searchengineworld.com/cgi-bin/robotcheck.cgi ),C,"
"
6,,DreamCast DreamPassport browser,id_a_f_171105_1,http://www.dricas.com/dp/,,(DreamPassport/3.0; isao/MyDiGiRabi),B,"
"
7,s.also Privoxy/3.0 (Anonymous),Privoxy web proxy,id_a_f_290606_1,http://www.privoxy.org/,,(Privoxy/1.0),P,"
"
8,123.113.184.2xx,Unknown Yahoo robot,id_a_f_230507_1,http://www.yahoo.com,,*/Nutch-0.9-dev,R,"
"
9,,SitiDi.net search (Germany) robot,id_a_f_5,http://www.sitidi.net/,,+SitiDi.net/SitiDiBot/1.0 (+Have Good Day),R,"
"
10,,Die Kraehe Meta-Search-Engine (Germany) link checking,id_a_f_1,http://www.die-kraehe.de,,-DIE-KRAEHE- META-SEARCH-ENGINE/1.1 http://www.die-kraehe.de,R,"
"
11,,123spider.de (Germany) web directory link checking,id_a_f_060206_1,http://www.123spider.de/,,"123spider-Bot (Version: 1.02, powered by www.123spider.de",C,"
"
12,217.160.75.2xx,192.com - UK web directory,id_a_f_180806_1,http://www.192.com/,,192.comAgent,R,"
"
13,,1st ZipCommander Net - IE based browser,id_a_f_060606_1,http://www.zipcommander.com/,,1st ZipCommander (Net) - http://www.zipcommander.com/,B,"
"
14,,2Bone online link checker,id_a_f_10,http://www.2bone.com/links/linkchecker.shtml,,2Bone_LinkChecker/1.0 libwww-perl/5.64,C,"
"
15,,4Anything robot,id_a_f_11,http://www.4anything.com,,4anything.com LinkChecker v2.0,R,"
"
16,s. various honey pot sites,Unknown guestbook spamming or harvesting tool from diff. IPs,id_a_f_110207_1,http://www.projecthoneypot.org/bsh_X19tb2RlPWdsb2JhbCZfX2J5PWMmY3RyeT11cyZ1YWc9ODQ4NCtCb3N0b24rUHJvamVjdCt2KzEuMA..,,8484 Boston Project v 1.0,S,"
"
17,,neofonie search robot Germany,id_a_f_2,http://www.neofonie.de/loesungen/search/,,:robot/1.0 (linux) ( admin e-mail: undefined http://www.neofonie.de/loesungen/search/robot.html ),R,"
"
18,,A-Online.at robot - now Jet2Web Search,id_a_f_12,http://www.jet2web.net/portal,,A-Online Search,R,"
"
19,,A1 Keyword Research - search engine and keyword optimization software,id_a_f_090707_1,http://www.micro-sys.dk/products/keyword-research/,,A1 Keyword Research/1.0.2 (+http://www.micro-sys.dk/products/keyword-research/) miggibot/2007.03.27,C,"
"
20,,MiggiBot website crawler engine - A1 Sitemap Generator,id_a_f_100906_1,http://www.micro-sys.dk/products/sitemap-generator/,http://www.micro-sys.dk/developer/miggibot/,A1 Sitemap Generator/1.0 (+http://www.micro-sys.dk/products/sitemap-generator/) miggibot/2006.01.24,R,"
"
21,192.9.71.7x,Aardvark web crawler for Sun's Blog recommendations,id_a_f_250408_2,http://blogs.sun.com/plamere/,,aardvark-crawler,R,"
"
22,,Abacho / Crawler.de robot,id_a_f_13,http://www.abacho.com,,AbachoBOT,R,"
"
23,,Abacho / Crawler.de robot,id_a_f_14,http://www.abacho.com,,AbachoBOT (Mozilla compatible),R,"
"
24,,ABCdatos - Castilian program & tutorial directory,id_a_f_15,http://www.abcdatos.com,,ABCdatos BotLink/5.xx.xxx#BBL,R,"
"
25,,Aberja Hybridsuchmaschine (Germany) link checking,id_a_f_16,http://www.aberja.de,,Aberja Checkomat,R,"
"
26,s. also - np/0.1_(np;_http://www.nameprotect.com... - aipbot/1.0 (aipbot; http://www.aipbot.com...,Nameprotect copyright search robot (24.177.134.x),id_a_f_17,http://www.nameprotect.com/,,abot/0.1 (abot; http://www.abot.com; abot@abot.com),R,"
"
27,,About robot,id_a_f_18,http://www.about.com,,About/0.1libwww-perl/5.47,R,"
"
28,125.100.242.2xx,Accela Technology RSS feed crawler,id_a_f_051206_3,http://www.accelatech.com/,,Accelatech RSSCrawler/0.4,R,"
"
29,65.17.255.xx,Accoona Search robot,id_a_f_19,http://www.accoona.com,,accoona,R,"
"
30,65.17.255.xx,Accoona Search robot,id_a_f_20,http://www.accoona.com,,Accoona-AI-Agent/1.1.1 (crawler at accoona dot com),R,"
"
31,65.17.255.xx,Accoona Search robot,id_a_f_140906_3,http://www.accoona.com,,Accoona-AI-Agent/1.1.2 (aicrawler at accoonabot dot com),R,"
"
32,,Ace Explorer - IE based browser,id_a_f_21,http://www.aceexplorer.com,,Ace Explorer,B,"
"
33,64.74.153.xx,Ackerm search robot,id_a_f_280806_1,http://www.ackerm.com/,,Ack (http://www.ackerm.com/),R,"
"
34,,Acoi picture finder robot,id_a_f_22,http://monetdb.cwi.nl/acoi/projects.html,,AcoiRobot,R,"
"
35,80.237.153.10x,Acoon.de search (Germany) robot,id_a_f_23,http://www.acoon.de,,Acoon Robot v1.50.001,R,"
"
36,80.237.153.10x,Acoon.de search (Germany) robot,id_a_f_24,http://www.acoon.de,,Acoon Robot v1.52 (http://www.acoon.de),R,"
"
37,80.237.209.xx,Acoon.de search (Germany) robot,id_a_f_100508_1,http://www.acoon.de,,Acoon-Robot 4.0.x.[xx] (http://www.acoon.de),R,"
"
38,80.237.153.10x,Acoon.de search (Germany) robot,id_a_f_010108_1,http://www.acoon.de,,Acoon-Robot v3.xx (http://www.acoon.de and http://www.acoon.com),R,"
"
39,124.157.145.1xx,Acorn Search Project,id_a_f_110507_1,http://acorn.no-ip.org/,,Acorn/Nutch-0.9 (Non-Profit Search Engine; acorn.isara.org; acorn at isara dot org),R,"
"
40,,LibMaster.com Active Bookmark HTML page creator,id_a_f_25,http://www.libmaster.com/software.php,,ActiveBookmark 1.x,C B,"
"
41,,Activeworlds 3D homepage browser,id_a_f_060806_2,http://www.activeworlds.com,,Activeworlds,B,"
"
42,,Activeworlds 3D homepage browser,id_a_f_26,http://www.activeworlds.com,,ActiveWorlds/3.xx (xxx),B,"
"
43,,Ad Muncher - banner killer,id_a_f_27,http://www.admuncher.com/,,Ad Muncher v4.xx.x,P,"
"
44,,Ad Muncher - banner killer,id_a_f_28,http://www.admuncher.com/,,Ad Muncher v4x Build xxxxx,P,"
"
45,85.10.199.xx,website directory adaxas link checking,id_a_f_061006_1,http://www.adaxas.net/,,Adaxas Spider (http://www.adaxas.net/),C,"
"
46,,Avant Browser - IE based browser,id_a_f_29,http://www.avantbrowser.com,,Advanced Browser (http://www.avantbrowser.com),B,"
"
47,,Aesop robot,id_a_f_30,http://www.aesop.com,,AESOP_com_SpiderMan,R,"
"
48,s. also Mozilla/4.0 (agadine3.0),Agada search (Germany) robot,id_a_f_31,http://www.agada.de,,agadine/1.x.x (+http://www.agada.de),R,"
"
